Generation Model,Question Index,Question,Type,Source_QID,Original Chunk,Chunks Retrieved,Generated Answer,Reference Answer,Generation Prompt Used,Encoding Used,Enable Thinking,correctness,correctness_reason,completeness_reference,completeness_reference_reason,faithfulness,faithfulness_reason,completeness_question,completeness_question_reason,Judge Model,Judge Prompt
microsoft/Phi-3-mini-128k-instruct,60,How is my daily allowance reduced when meals are provided for free?,Paraphrased,Paraphrased from Ques_29 in Manual QA doc,Chunk_27,chunk_27; chunk_75; chunk_24; chunk_55; chunk_31; chunk_26; chunk_28; chunk_69; chunk_18; chunk_2,"If official travelers receive complimentary meals during their official duties, 20 percent of the per diem for breakfast and 40 percent each for lunch and dinner for a full calendar day shall be withheld from the entitled per diem. The same applies if meals are provided by a third party and the charge for them is included in the reimbursable travel, flight, accommodation, or incidental expenses. The same reduction percentages also apply if the official traveler does not avail themselves of the complimentary meals without a compelling reason.","20% of the daily per diem will be withheld for breakfast, and 40% each for lunch and dinner if a traveler receives complimentary meals, is provided meals by a third party, or does not avail themselves of complimentary meals without a compelling reason.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the same information as the reference, detailing the percentage reductions for each meal.",5,"The response includes all key information from the reference – the percentages for breakfast, lunch, and dinner, and the conditions for reduction.",5,"The response is directly and completely sourced from the provided context, with no added or contradictory information.",5,"The response fully answers the question by explaining how the daily allowance is reduced when meals are provided for free, covering all scenarios mentioned in the context.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,61,What is the sum received for a necessary overnight stay?,Original,,Chunk_28,chunk_28; chunk_74; chunk_29; chunk_30; chunk_31; chunk_41; chunk_12; chunk_55; chunk_32; chunk_27,"For a necessary overnight stay, official travelers receive a lump sum of 20 euros domestically and 30 euros abroad.","For a necessary overnight stay, official travelers receive a lump sum of 20 euros domestically and 30 euros abroad. Higher accommodation costs shall be reimbursed to the necessary extent.",Basic_RAG_Prompt,mpnet,False,5,The response accurately reflects the meaning of the reference text.,4,The response includes the core information from the reference but omits the detail about higher accommodation costs being reimbursed.,5,The response is directly and completely supported by the provided context; no information is added or contradicted.,5,The response directly and completely answers the question regarding the sum received for a necessary overnight stay.,default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,62,How much money is provided to cover the cost of required overnight accommodations?,Paraphrased,Paraphrased from Ques_30 in Manual QA doc,Chunk_28,chunk_28; chunk_29; chunk_31; chunk_74; chunk_41; chunk_12; chunk_30; chunk_27; chunk_5; chunk_4,"For a necessary overnight stay, official travelers receive a lump sum of 20 euros domestically and 30 euros abroad. Higher accommodation costs shall be reimbursed to the necessary extent, up to the amount determined by the administrative regulation of the Ministry of Finance.","For a necessary overnight stay, official travelers receive a lump sum of 20 euros domestically and 30 euros abroad. Higher accommodation costs shall be reimbursed to the necessary extent.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the same information as the reference, with only a minor addition.",4,"The response includes all key information from the reference, with a slight expansion on the reimbursement detail.",5,The response is entirely based on the provided context and does not introduce any new information or contradictions.,5,The response directly and fully answers the question regarding the money provided for overnight accommodations.,default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,63,What happens when the stay at the same external business location lasts longer than seven days?,Original,,Chunk_30,chunk_30; chunk_48; chunk_12; chunk_8; chunk_46; chunk_25; chunk_47; chunk_29; chunk_9; chunk_76,"If the stay at the same external business location lasts longer than seven days, from the eighth day onward the same reimbursement is granted as would be provided in the case of a secondment.","If the stay at the same external business location lasts longer than seven days, from the eighth day onward the same reimbursement is granted as would be provided in the case of a secondment. All days between the day of arrival and the day of departure are counted as days of stay.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the meaning of the reference, with identical wording.",4,"The response omits the detail about counting all days between arrival and departure, but the core information is present.",5,"The response is directly and completely supported by the context, with no added or contradictory information.",5,"The response directly and fully answers the question, addressing the reimbursement scenario for stays longer than seven days.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,64,Could you clarify the implications of a business trip exceeding a week in duration?,Paraphrased,Paraphrased from Ques_31 in Manual QA doc,Chunk_30,chunk_30; chunk_8; chunk_43; chunk_9; chunk_48; chunk_55; chunk_61; chunk_2; chunk_60; chunk_70,"If a business trip at the same external business location lasts longer than seven days, from the eighth day onward, the same reimbursement is granted as would be provided in the case of a secondment. This means that the travel expenses incurred during the extended stay will be reimbursed at the same rate as if the official had been seconded to that location. All days between the day of arrival and the day of departure are counted as days of stay for the purpose of reimbursement.","If the stay at the same external business location lasts longer than seven days, from the eighth day onward the same reimbursement is granted as would be provided in the case of a secondment. All days between the day of arrival and the day of departure are counted as days of stay.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the same information as the reference, with only minor wording differences.",5,The response includes all key information present in the reference.,5,"The response is directly and completely derived from the provided context, with no added or contradictory information.",5,"The response directly and fully clarifies the implications of a business trip exceeding a week, as requested in the question.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,65,"For official travel, when would I receive a single expense allowance instead of the usual separate payments for meals and hotels?",Original,,Chunk_31,chunk_31; chunk_55; chunk_49; chunk_32; chunk_6; chunk_36; chunk_8; chunk_7; chunk_37; chunk_11,"According to the State Travel Expense Act (LRKG) §  Expense and Lump Sum Reimbursement (), official travelers may be compensated by an expense allowance in lieu of per diem, accommodation allowance, and reimbursement of expenses for regular or similar official trips, as determined by the highest competent authority or its authorized subordinate authority. This allowance is based on the average of the individual reimbursements otherwise incurred in a certain period.","Official travelers, for whom generally lower expenses for meals and accommodation are incurred, may, as determined by the highest competent authority or its authorized subordinate authority, be compensated by an expense allowance in lieu of per diem, accommodation allowance, and reimbursement of expenses under § 8, corresponding to the necessary expenses. ",Basic_RAG_Prompt,mpnet,False,4,"The response accurately conveys the core meaning of the reference – that an expense allowance can be used *in lieu of* other reimbursements. There are slight wording differences, but the meaning is preserved.",3,The response omits the detail that this allowance corresponds to 'necessary expenses' as stated in the reference. It also doesn't mention the reference to § 8.,5,The response is entirely derived from the provided context and does not introduce any new information or contradict it.,4,"The response directly answers the question by explaining when a single expense allowance is provided (instead of separate payments). It could be improved by explicitly stating it's for travelers with lower meal/accommodation costs, but the core answer is present.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,66,"Under what circumstances during work travel would I get one payment to cover all costs, rather than being reimbursed individually for things like food and lodging?",Paraphrased,Paraphrased from Ques_32 in Manual QA doc,Chunk_31,chunk_32; chunk_31; chunk_41; chunk_37; chunk_7; chunk_38; chunk_36; chunk_6; chunk_39; chunk_11,"Under the State Travel Expense Act (LRKG), the highest competent authority or its authorized subordinate authority may grant a lump sum reimbursement in lieu of the travel expense reimbursement or individual components thereof for regular or similar official trips. This lump sum reimbursement is determined based on the average of the individual reimbursements otherwise incurred in a certain period. Additionally, for official travelers, who generally incur lower expenses for meals and accommodation, they may be compensated by an expense allowance in lieu of per diem, accommodation allowance, and reimbursement of expenses under § G, corresponding to the necessary expenses.","Official travelers, for whom generally lower expenses for meals and accommodation are incurred, may, as determined by the highest competent authority or its authorized subordinate authority, be compensated by an expense allowance in lieu of per diem, accommodation allowance, and reimbursement of expenses under § 8, corresponding to the necessary expenses. ",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the same information as the reference, though with slightly different phrasing.",5,The response includes all key information present in the reference.,5,The response is entirely based on the provided context and does not introduce any new information.,4,"The response directly addresses the question of receiving a single payment instead of individual reimbursements, and explains the circumstances under which this is possible. It could be improved by mentioning the 'State Travel Expense Act (LRKG)' in relation to the question.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,67,When is a lump sum reimbursement granted instead of the travel expense reimbursement?,Original,,Chunk_32,chunk_32; chunk_31; chunk_39; chunk_37; chunk_41; chunk_11; chunk_38; chunk_7; chunk_40; chunk_36,"A lump sum reimbursement is granted instead of the travel expense reimbursement for regular or similar official trips, as determined by the highest competent authority or its authorized subordinate authority. This reimbursement is based on the average of the individual reimbursements otherwise incurred in a certain period.","The highest competent authority or its authorized subordinate authority may, for regular or similar official trips, grant a lump sum reimbursement in lieu of the travel expense reimbursement or individual components thereof, which is to be determined based on the average of the individual reimbursements otherwise incurred in a certain period.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the meaning of the reference, with only minor wording differences.",5,The response includes all key information present in the reference.,5,"The response is directly and completely derived from the provided context, with no added or contradictory information.",5,"The response directly and fully answers the question, explaining the condition for a lump sum reimbursement.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,68,"Under what circumstances is a single payment used to cover travel costs, rather than standard expense reporting?",Paraphrased,Paraphrased from Ques_33 in Manual QA doc,Chunk_32,chunk_32; chunk_8; chunk_37; chunk_31; chunk_6; chunk_38; chunk_36; chunk_39; chunk_18; chunk_21,"Under the State Travel Expense Act (LRKG), a single payment may be used to cover travel costs in lieu of standard expense reporting for regular or similar official trips. This lump sum reimbursement is determined based on the average of the individual reimbursements otherwise incurred in a certain period. The highest competent authority or its authorized subordinate authority has the discretion to grant this lump sum reimbursement.","The highest competent authority or its authorized subordinate authority may, for regular or similar official trips, grant a lump sum reimbursement in lieu of the travel expense reimbursement or individual components thereof, which is to be determined based on the average of the individual reimbursements otherwise incurred in a certain period.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the meaning of the reference, describing the conditions for a lump sum reimbursement.",5,The response includes all key information present in the reference regarding lump sum reimbursements.,5,The response is entirely based on and consistent with the information provided in the context; no external information is introduced.,5,The response directly and fully answers the question by explaining the circumstances under which a single payment is used instead of standard expense reporting.,default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,69,What is considered incidental expenses?,Original,,Chunk_33,chunk_80; chunk_33; chunk_58; chunk_9; chunk_8; chunk_6; chunk_7; chunk_55; chunk_40; chunk_31,Incidental expenses are necessary expenses incurred for the conduct of official business that are not reimbursable under other specified sections of the State Travel Expense Act (LRKG). These costs are to be systematically declared as incidental expenses.,Necessary expenses incurred for the conduct of official business that are not reimbursable under §§ 4 to U shall be reimbursed as incidental expenses. ,Basic_RAG_Prompt,mpnet,False,4,"The response accurately conveys the definition of incidental expenses as provided in the reference, though it simplifies the section references.",3,"The response omits the specific section references (4 to U) from the reference text, making it slightly incomplete.",5,The response is entirely based on information present within the provided context and does not introduce any external or contradictory information.,4,The response directly answers the question by defining what is considered incidental expenses. It could be slightly improved by mentioning the act it's from.,default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,70,Could you please define what falls under the category of incidental expenses?,Paraphrased,Paraphrased from Ques_34 in Manual QA doc,Chunk_33,chunk_80; chunk_58; chunk_55; chunk_33; chunk_60; chunk_2; chunk_7; chunk_4; chunk_6; chunk_9,Incidental expenses are necessary expenses incurred for the conduct of official business that are not reimbursable under the specified sections of the State Travel Expense Act. These expenses are systematically declared and reimbursed as part of the official travel expense reimbursement.,Necessary expenses incurred for the conduct of official business that are not reimbursable under §§ 4 to U shall be reimbursed as incidental expenses. ,Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the definition of incidental expenses as presented in the reference, even with slight rephrasing.",4,The response captures the core definition from the reference but omits the specific section numbers (4 to U) where non-reimbursable expenses are detailed.,5,The response is entirely based on information provided within the context; it doesn't introduce any external or contradictory details.,5,The response directly and fully answers the question by providing a clear definition of incidental expenses.,default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,71,"If my trip is canceled, will I get reimbursed for necessary pre-trip expenses?",Original,,Chunk_34,chunk_34; chunk_40; chunk_39; chunk_14; chunk_16; chunk_33; chunk_38; chunk_31; chunk_11; chunk_17,"Yes, if your official trip is canceled for reasons not attributable to you, the necessary expenses incurred in preparation for the trip are eligible for reimbursement under the State Travel Expense Act (LRKG) §  Reimbursement of Other Costs (()).","If official trips are canceled for reasons not attributable to the official traveler, the necessary expenses incurred in preparation, which are eligible for reimbursement under this Act, shall be reimbursed.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the same meaning as the reference, stating pre-trip expenses are reimbursable if the cancellation isn't the traveler's fault.",5,"The response includes all key information from the reference – cancellation not attributable to traveler, necessary expenses, and reimbursement under the Act.",5,"The response is directly and completely derived from the provided context, with no added or contradictory information.",5,"The response directly and fully answers the question, confirming reimbursement for pre-trip expenses in case of cancellation.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,72,Will I be able to get my money back for expenses already incurred if my travel plans are called off?,Paraphrased,Paraphrased from Ques_35 in Manual QA doc,Chunk_34,chunk_34; chunk_40; chunk_39; chunk_14; chunk_16; chunk_17; chunk_38; chunk_37; chunk_32; chunk_33,"Yes, if your official trip is canceled for reasons not attributable to you, the necessary expenses incurred in preparation for the trip are eligible for reimbursement under the State Travel Expense Act (LRKG) §  Reimbursement of Other Costs ().","If official trips are canceled for reasons not attributable to the official traveler, the necessary expenses incurred in preparation, which are eligible for reimbursement under this Act, shall be reimbursed.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the same meaning as the reference, stating that expenses are reimbursable if the trip cancellation isn't the traveler's fault.",5,"The response includes all key information from the reference – cancellation not attributable to traveler, necessary expenses, and reimbursement under the Act.",5,"The response is directly and completely derived from the provided context, with no added or contradictory information.",5,The response directly and fully answers the question of whether expenses can be reimbursed if travel is canceled.,default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,73,"In case of a transfer, secondment, or termination of a secondment, for how long is the per diem allowance granted?",Original,,Chunk_35,chunk_35; chunk_25; chunk_48; chunk_24; chunk_50; chunk_46; chunk_26; chunk_27; chunk_30; chunk_49,The per diem allowance is granted for the period until arrival at the new place of work.,"For official trips on the occasion of a transfer, secondment, or termination of a secondment, the per diem allowance is granted for the period until arrival at the new place of work.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the meaning of the reference, stating the per diem allowance is granted until arrival at the new place of work.",5,The response includes all key information from the reference regarding the duration of the per diem allowance.,5,The response is directly and completely supported by the provided context; it's a verbatim excerpt.,5,The response directly and completely answers the question regarding the duration of the per diem allowance in the specified scenarios.,default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,74,"How long does the daily allowance continue to be paid when someone is transferred, moved on secondment, or their secondment ends?",Paraphrased,Paraphrased from Ques_36 in Manual QA doc,Chunk_35,chunk_50; chunk_49; chunk_35; chunk_30; chunk_14; chunk_28; chunk_24; chunk_25; chunk_65; chunk_29,"The per diem allowance continues to be paid until the end of the day of arrival at the new place of work in the case of a transfer, secondment, or termination of a secondment.","For official trips on the occasion of a transfer, secondment, or termination of a secondment, the per diem allowance is granted for the period until arrival at the new place of work.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the same meaning as the reference, stating the per diem is paid until arrival at the new workplace.",5,The response includes all key information from the reference – the per diem allowance continues until arrival at the new place of work.,5,The response is directly supported by the context and does not introduce any new or contradictory information.,5,The response directly and fully answers the question regarding the duration of daily allowance payment in transfer/secondment scenarios.,default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,75,How long is the per diem allowance provided for on the day of arrival at a new place of work?,Original,,Chunk_35,chunk_25; chunk_35; chunk_48; chunk_24; chunk_46; chunk_26; chunk_27; chunk_70; chunk_30; chunk_45,The per diem allowance is provided for the entire day of arrival at a new place of work.,The per diem is granted until the end of the day of arrival.,Basic_RAG_Prompt,mpnet,False,5,The response accurately conveys the same meaning as the reference – the per diem is provided until the end of the day of arrival.,5,The response includes all key information from the reference.,5,The response is directly supported by the context and does not introduce any new information.,5,The response directly and fully answers the question regarding the duration of the per diem allowance on arrival day.,default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,76,"On the arrival date at a new workplace, for what length of time is the per diem allowance applicable?",Paraphrased,Paraphrased from Ques_37 in Manual QA doc,Chunk_35,chunk_25; chunk_35; chunk_48; chunk_24; chunk_46; chunk_70; chunk_26; chunk_27; chunk_30; chunk_7,The per diem allowance is applicable from the time of arrival at the new place of work until the end of the day of arrival.,The per diem is granted until the end of the day of arrival.,Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the same meaning as the reference, stating the per diem is granted until the end of the day of arrival.",5,The response includes all key information from the reference.,5,The response is directly supported by the context and does not introduce any new information.,5,The response directly and fully answers the question regarding the duration of the per diem allowance on the arrival date.,default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,77,Will the travel expense reimbursement cover a vacation or another trip if I combine it with an official trip?,Original,,Chunk_37,chunk_37; chunk_16; chunk_11; chunk_39; chunk_7; chunk_40; chunk_33; chunk_15; chunk_32; chunk_38,"Yes, the travel expense reimbursement will cover the official trip portion of a combined vacation or private trip. However, the reimbursement shall not exceed the travel expense reimbursement resulting from the actual course of the trip.","If an official trip is combined with a vacation or another private trip, the travel expense reimbursement shall be calculated as if only the official trip were undertaken.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the meaning of the reference, stating the reimbursement is calculated as if only the official trip occurred.",5,"The response includes all key information from the reference, including the limitation on exceeding actual trip expenses.",5,The response is entirely based on and consistent with the information provided in the context; no external information is introduced.,5,"The response directly and fully answers the question, addressing whether a combined trip is covered and clarifying the reimbursement conditions.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,78,"If a business trip is combined with personal travel, will expenses be reimbursed for the entire trip?",Paraphrased,Paraphrased from Ques_38 in Manual QA doc,Chunk_37,chunk_7; chunk_37; chunk_40; chunk_33; chunk_30; chunk_39; chunk_16; chunk_15; chunk_11; chunk_6,"No, expenses will not be reimbursed for the entire trip. According to the State Travel Expense Act (LRKG) §  Determination of the Travel Expense Reimbursement in Special Cases (), if an official trip is combined with a vacation or another private trip, the travel expense reimbursement shall be calculated as if only the official trip were undertaken. The reimbursement under this section shall not exceed the travel expense reimbursement resulting from the actual course of the trip.","If an official trip is combined with a vacation or another private trip, the travel expense reimbursement shall be calculated as if only the official trip were undertaken.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the meaning of the reference, stating the core principle of reimbursement calculation when combining official and personal trips.",4,"The response includes the key information from the reference, but omits the detail about reimbursement not exceeding the actual course of the trip.",5,The response is entirely based on the provided context and does not introduce any new or contradictory information.,5,"The response directly and fully answers the question, clarifying whether expenses are reimbursed for the entire trip when combined with personal travel.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,79,"In case an official trip commences or concludes at the vacation location, how will the travel expense reimbursement be calculated?",Original,,Chunk_38,chunk_38; chunk_37; chunk_39; chunk_12; chunk_14; chunk_30; chunk_40; chunk_36; chunk_7; chunk_11,"If an official trip commences or concludes at the vacation location, the travel expense reimbursement shall be calculated based on the departure from or arrival at that location, contrary to the general rule.","If it is ordered or approved that the official trip is to commence or conclude at the vacation location, the travel expense reimbursement shall, contrary to paragraph 3, be calculated based on the departure from or arrival at that location.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the meaning of the reference, despite slight wording differences.",5,The response includes all key information present in the reference.,5,"The response is directly and accurately extracted from the provided context, with no added or contradictory information.",5,The response directly and fully answers the question posed.,default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,80,How are travel costs handled when a business trip starts or ends at the same place as a personal vacation?,Paraphrased,Paraphrased from Ques_39 in Manual QA doc,Chunk_38,chunk_8; chunk_12; chunk_37; chunk_38; chunk_39; chunk_9; chunk_40; chunk_7; chunk_30; chunk_6,"If an official trip is combined with a vacation or another private trip, the travel expense reimbursement shall be calculated as if only the official trip were undertaken. The travel expense reimbursement under the relevant section shall not exceed the travel expense reimbursement resulting from the actual course of the trip.","If it is ordered or approved that the official trip is to commence or conclude at the vacation location, the travel expense reimbursement shall, contrary to paragraph 3, be calculated based on the departure from or arrival at that location.",Basic_RAG_Prompt,mpnet,False,2,"The response conveys a related but different meaning than the reference. The reference discusses calculating reimbursement *based on* the vacation location if ordered/approved, while the response discusses calculating reimbursement *as if* only the official trip were undertaken.",1,"The response misses the key detail that reimbursement is calculated *based on* the vacation location when ordered or approved, a core element of the reference.",5,The response accurately reflects the information present in the context without adding any extraneous or contradictory details.,3,"The response addresses the core idea of how costs are handled when a business trip combines with a vacation, but lacks the nuance of when this rule applies (i.e., when ordered or approved).",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,81,"If the trip terminates early for official reasons, is the return journey to the official premises covered by travel expense reimbursement?",Original,,Chunk_39,chunk_39; chunk_40; chunk_14; chunk_12; chunk_38; chunk_16; chunk_34; chunk_42; chunk_36; chunk_30,"Yes, according to the State Travel Expense Act (LRKG) §  Determination of the Travel Expense Reimbursement in Special Cases (), if the early termination of a vacation or another private trip is ordered for official reasons, the return journey from the vacation or stay location to the official premises shall be treated as an official trip for which travel expense reimbursement is granted.","If, for official reasons, the early termination of a vacation or another private trip is ordered, the return journey from the vacation or stay location to the official premises shall be treated as an official trip for which travel expense reimbursement is granted.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the same meaning as the reference, with only minor differences in phrasing.",5,The response includes all key information present in the reference.,5,The response is entirely based on and consistent with the provided context; no information is added or contradicted.,5,"The response directly and fully answers the question, addressing all aspects of whether the return journey is covered.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,82,Would travel expenses for the return trip be reimbursed if a trip is cut short due to work-related issues?,Paraphrased,Paraphrased from Ques_40 in Manual QA doc,Chunk_39,chunk_40; chunk_34; chunk_39; chunk_14; chunk_41; chunk_38; chunk_30; chunk_16; chunk_18; chunk_33,"Yes, travel expenses for the return trip would be reimbursed if a trip is cut short due to work-related issues. According to the State Travel Expense Act (LRKG) §  Determination of the Travel Expense Reimbursement in Special Cases (), if official reasons necessitate the early termination of a vacation or another private trip, the return journey from the vacation or stay location to the official premises shall be treated as an official trip for which travel expense reimbursement is granted.","If, for official reasons, the early termination of a vacation or another private trip is ordered, the return journey from the vacation or stay location to the official premises shall be treated as an official trip for which travel expense reimbursement is granted.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the same meaning as the reference, with only slight rephrasing.",5,The response includes all key information present in the reference.,5,The response is entirely based on and consistent with the information provided in the context; no external information is added.,5,"The response directly and fully answers the question, addressing the scenario of a work-related trip interruption and return expense reimbursement.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,83,"If a trip is interrupted, are the expenses of persons accompanying me also reimbursed, or only my expenses?",Original,,Chunk_40,chunk_40; chunk_34; chunk_39; chunk_16; chunk_37; chunk_41; chunk_31; chunk_38; chunk_11; chunk_33,"According to the State Travel Expense Act (LRKG) §  Determination of the Travel Expense Reimbursement in Special Cases (), expenses of the official traveler and any accompanying persons that arise due to the interruption or early termination of a vacation or another private trip shall be reimbursed to an appropriate extent. This implies that the expenses of persons accompanying the official traveler are also eligible for reimbursement in the event of an interruption or early termination of the trip.",Expenses of the official traveler and any accompanying persons that arise due to the 7 interruption or early termination of a vacation or another private trip shall be reimbursed to an appropriate extent.,Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the meaning of the reference, stating that expenses for both the traveler and accompanying persons are eligible for reimbursement.",5,The response includes all key information present in the reference text.,5,The response is entirely based on and consistent with the information provided in the context; no external information is introduced.,4,The response directly addresses the question by clarifying that expenses for accompanying persons *are* reimbursed. It could be slightly improved by explicitly stating that both the traveler's and accompanying persons' expenses are covered.,default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,84,"When a trip is cut short, does coverage extend to the costs of those traveling with me, or just my own?",Paraphrased,Paraphrased from Ques_41 in Manual QA doc,Chunk_40,chunk_40; chunk_41; chunk_34; chunk_19; chunk_39; chunk_18; chunk_4; chunk_37; chunk_16; chunk_30,"According to the State Travel Expense Act (LRKG) §  Determination of the Travel Expense Reimbursement in Special Cases (), if official travelers fall ill and are admitted to a hospital, the necessary expenses for accommodation at the business location shall be reimbursed for each full calendar day of the hospital stay. This implies that if an official trip is cut short due to illness, the reimbursement would cover the necessary expenses for accommodation at the business location for each full calendar day of the hospital stay, which includes the days of the official traveler as well as any accompanying persons.",Expenses of the official traveler and any accompanying persons that arise due to the 7 interruption or early termination of a vacation or another private trip shall be reimbursed to an appropriate extent.,Basic_RAG_Prompt,mpnet,False,4,The response accurately conveys the core meaning of the reference – that expenses for both the traveler and accompanying persons are covered when a trip is interrupted.,3,"The response adds information about hospital stays that isn't present in the reference, but doesn't contradict it. It focuses on a specific scenario.",2,The response introduces the 'State Travel Expense Act (LRKG)' and a section number which are not present in the provided context. It expands beyond the context's scope.,4,"The response directly addresses whether costs extend to accompanying persons, answering the question effectively. It also implies coverage for the traveler themselves.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,85,"If I get hospitalized during my official trip, will I have to cover the necessary expenses?",Original,,Chunk_41,chunk_41; chunk_19; chunk_40; chunk_34; chunk_31; chunk_16; chunk_8; chunk_11; chunk_33; chunk_28,"No, if you get hospitalized during your official trip, the necessary expenses for accommodation at the business location shall be reimbursed for each full calendar day of the hospital stay.","If official travelers fall ill and are admitted to a hospital, the necessary expenses for accommodation at the business location shall be reimbursed for each full calendar day of the hospital stay.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the same meaning as the reference, with only minor wording differences.",5,The response includes all key information present in the reference.,5,"The response is directly and completely supported by the provided context, with no added or contradictory information.",5,"The response directly and fully answers the question, addressing whether expenses are covered during hospitalization.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,86,Who is financially responsible for hospital bills incurred while traveling for work?,Paraphrased,Paraphrased from Ques_42 in Manual QA doc,Chunk_41,chunk_41; chunk_19; chunk_40; chunk_6; chunk_18; chunk_34; chunk_7; chunk_8; chunk_21; chunk_11,"According to the State Travel Expense Act (LRKG) §  Determination of the Travel Expense Reimbursement in Special Cases (), the necessary expenses for accommodation at the business location shall be reimbursed for each full calendar day of the hospital stay if official travelers fall ill and are admitted to a hospital while traveling for work. Therefore, the employer or the state government is financially responsible for hospital bills incurred while traveling for work.","If official travelers fall ill and are admitted to a hospital, the necessary expenses for accommodation at the business location shall be reimbursed for each full calendar day of the hospital stay.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the meaning of the reference, stating the reimbursement of accommodation expenses during a hospital stay for official travelers.",5,The response includes all key information from the reference – reimbursement of accommodation for hospital stays during work travel.,5,The response is entirely based on the provided context and does not introduce any new or contradictory information.,4,"The response directly answers the question by stating the employer/state government is financially responsible, though it focuses on accommodation expenses rather than all hospital bills.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,87,What happens with medical costs if I require hospitalization on a business trip?,Paraphrased,Paraphrased from Ques_42 in Manual QA doc,Chunk_41,chunk_41; chunk_34; chunk_19; chunk_40; chunk_8; chunk_7; chunk_6; chunk_5; chunk_39; chunk_18,"If official travelers fall ill and are admitted to a hospital during a business trip, the necessary expenses for accommodation at the business location shall be reimbursed for each full calendar day of the hospital stay.","If official travelers fall ill and are admitted to a hospital, the necessary expenses for accommodation at the business location shall be reimbursed for each full calendar day of the hospital stay.",Basic_RAG_Prompt,mpnet,False,5,The response and reference are identical in meaning.,5,The response includes all key information present in the reference.,5,"The response is directly and completely supported by the context, with no added or contradictory information.",3,"The question asks about 'medical costs' generally, while the response only addresses accommodation costs. It doesn't cover other potential medical expenses.",default,prompt_v2
